Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,prediction 0,prediction 1,calculation 0,calculation 1,error 0,error 1,Round,category,Series
C05_A05,C[n+]1ccn(C(CCF)CCCCCCCCCl)c1.O=C([O-])[C@@H]1CCCN1,19,0.6943005181347149,1-butyl-3-methylimidazolium,L-prolinate,1011.66,1084.07,748.96,1075.04,35.08,0.84,8,Imidazolium,1
C14_A14,CCCCN[NH2+]CC(C)(CCCC)C(S)CC.O=C([O-])[C@@H]1CCCN1,17,0.4782608695652174,triethyloctylammonium,L-prolinate,978.2,1017.81,793.79,983.32,23.23,3.51,8,Ammonium,1
C48_A48,CCCC(N)[NH2+]C(N)(CCCCCl)CN(C)CC.NCCCC[C@H](N)C(=O)[O-],18,0.4957983193277311,triethyloctylammonium,L-lysinate,994.97,1052.11,835.82,1059.29,19.04,0.68,8,Ammonium,1
C49_A49,CCCCCCCCc1cccc[n+]1CCCC.CCCCCCCCOS(=O)(=O)[O-],18,0.7188612099644128,"1,2-diethylpyridinium",octyl sulfate,923.16,983.76,913.16,964.32,1.1,2.02,8,Pyridinium,1
C63_A63,CCCCCCCC[n+]1cccc(CCCC)c1.CCCCCCCCOS(=O)(=O)[O-],18,0.71900826446281,N-octyl-3-methylpyridinium,octyl sulfate,920.58,989.77,962.39,961.31,4.34,2.96,8,Pyridinium,1
C84_A84,CCCCC(S)CCC(N)[n+]1cc[nH]c1.CCCCCCCCOS(=O)(=O)[O-],15,0.6564102564102564,1-butyl-3-methylimidazolium,octyl sulfate,1038.22,1056.48,783.34,1085.95,32.54,2.71,8,Imidazolium,1
C11_A11,CC(N)C[n+]1cccc(CCCCC(C)(C)C)c1.CCCCCCCCOS(=O)(=O)[O-],18,0.5985663082437276,N-octyl-3-methylpyridinium,octyl sulfate,954.99,1035.58,878.62,1001.27,8.69,3.43,8,Pyridinium,1
C01_A01,Cc1ccc[n+](CCCCCCCCCCCP)c1.CCCCCCCCOS(=O)(=O)[O-],19,0.956043956043956,N-octyl-3-methylpyridinium,octyl sulfate,943.63,1019.2,965.93,1001.44,2.31,1.77,7,Pyridinium,1
C08_A08,CCCNC(=[NH+]C(F)(Cl)CC)N(C)C(S)SCCF.NCCCC[C@H](N)C(=O)[O-],19,0.5,1-ethylpyridinium,L-lysinate,997.31,1092.56,814.02,1183.97,22.52,7.72,7,Pyridinium,1
C12_A12,CCCCC(CSCP)Cn1cc(CC)[n+](C)c1C.C[C@@H](O)[C@H](N)C(=O)[O-],19,0.5469387755102041,1-butyl-3-methylimidazolium,L-threoninate,975.7,1062.28,756.57,1067.31,28.96,0.47,7,Imidazolium,1
C16_A16,CCC(CF)CC1=NC=C[NH+]1C(C)(CCF)CCF.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,0.5041322314049587,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,980.07,1003.08,735.0,1383.55,33.34,27.5,7,Imidazolium,1
C20_A20,CCCCCC[n+]1ccccc1CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],16,0.7345454545454545,"1,2-diethylpyridinium",L-threoninate,953.69,1037.79,738.71,986.44,29.1,5.21,7,Pyridinium,1
C28_A28,CCCCCCCC[P+](CC)(CC)SC.NCCCC[C@H](N)C(=O)[O-],15,0.6666666666666666,triethyloctylammonium,L-lysinate,963.08,1004.67,858.97,970.32,12.12,3.54,7,Ammonium,1
