Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C01_A01,C[NH+]1CCN(CC2CCCCC2)C1O.OC(O)C(F)(F)F,14,0.5044247787610621,"N,N,N-triethyldodecan-1-aminium",hydrogensulfate,[  437.97  1122.35],"467.62, 1318.21","[6.34, 14.86]"
C03_A03,CC1CCCC(CN2CC[NH+](C)C2)C1.OS(O)(O)C(F)(F)F,14,0.5490196078431373,"N,N,N-triethyldodecan-1-aminium",nitrate,[  494.35  1298.48],"496.02, 1338.99","[0.34, 3.03]"
C04_A04,C[NH+]1CCN(CC2CCCCC2S)C1.OS(O)(O)C(F)(F)F,14,0.5,"N,N,N-triethyldodecan-1-aminium",L-valinate,[  391.99  1381.77],"471.81, 1431.48","[16.92, 3.47]"
C01_A01,CCCCN1CCC(N(C)S)CC1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,13,0.5102040816326531,1-butyl-1-methylpiperidinium,L-valinate,[  546.26  1764.83],"591.43, 1426.61","[7.64, 23.71]"
C04_A04,CCC(CC)CN1CCCC(C)C1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,13,0.6666666666666666,1-butyl-1-methylpiperidinium,L-cysteinate,[  777.37  1628.99],"633.65, 1329.44","[22.68, 22.53]"
C06_A06,CCCCCCC(CCCC)N1CCN(C)C1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,17,0.5047619047619047,"N,N,N-triethyldodecan-1-aminium",L-serinate,[ 1175.36  1537.38],"769.82, 1239.94","[52.68, 23.99]"
C07_A07,CCCC1CCN(CCC)CC1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,12,0.6849315068493149,1-butyl-1-methylpiperidinium,tetrafluoroborate,[  743.81  1665.59],"580.88, 1346.21","[28.05, 23.72]"
C08_A08,CNCCCCN1CCN(C)C1C.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,13,0.5204081632653061,1-butyl-1-methylpiperidinium,L-threoninate,[  539.71  1840.18],"639.73, 1387.38","[15.63, 32.64]"
C09_A09,CCCCCN1CCCCC1C.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,12,0.6944444444444444,1-butyl-1-methylpiperidinium,octyl sulfate,[  802.26  1669.54],"609.50, 1349.29","[31.63, 23.73]"
C01_A01,CCCCN1CCC(NC)CC1.OC1CCCCC1,12,0.6363636363636364,1-butyl-1-methylpiperidinium,tetrafluoroborate,[ 594.1   963.68],"489.49, 1021.94","[21.37, 5.7]"
C01_A01,CCCC(CC)CCCCCN1CCCC(C)C1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,18,0.6588235294117647,"N,N,N-triethyldodecan-1-aminium",methylsulfate,[ 1071.58  1493.05],"812.84, 1224.19","[31.83, 21.96]"
C06_A06,CCCC(C)C(CCCCN)CN1CCN(C)C1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,18,0.5377358490566038,"N,N,N-triethyldodecan-1-aminium",propionate,[  983.02  1507.45],"786.89, 1284.87","[24.92, 17.32]"
C08_A08,CC(C)CCCCN1CCC(N(C)CCCN)CC1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,19,0.5531914893617021,1-butyl-1-methylpiperidinium,dicyanamide,[  975.87  1487.44],"803.42, 1289.76","[21.46, 15.33]"
C09_A09,COCCCCCCCCCCN1CCN(C)C1.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,18,0.5612244897959183,"N,N,N-triethyldodecan-1-aminium",L-lysinate,[ 1078.34  1514.84],"777.96, 1275.65","[38.61, 18.75]"
C10_A10,CCCCCCC(CCCN1CCN(C)C1)NO.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,18,0.5,"N,N,N-triethyldodecan-1-aminium",p-toluenesulfonate,[  859.66  1647.9 ],"832.58, 1314.00","[3.25, 25.41]"
C11_A11,CCC(CCCCCN1CCN(C)C1C)ONC.OS(O)(NS(O)(O)C(F)(F)F)C(F)(F)F,18,0.4912280701754386,"N,N,N-triethyldodecan-1-aminium",nitrate,[  599.83  1830.81],"728.94, 1304.09","[17.71, 40.39]"
