Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCC[N+]1(CCCCCCO)CCCCC1.CC(=O)[O-],16,0.8787878787878788,1-hexyl-1-methylpiperidin-1-ium,acetate,1000,,
C02_A02,CCCC[N+](C)(CCCC)CCCCP.CC(O)C(=O)[O-],15,0.8032786885245902,tributylmethylammonium,lactate,1000,,
C03_A03,CCCCC(C)C[N+]1(C)CCCC1.N#CC(=C=[N-])C#N,13,0.8076923076923077,1-isobutyl-1-methylpyrrolidinium,tricyanomethanide,1000,,
C04_A04,CCC(N)CCCCC[P+](CC)(CC)CC.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],16,0.810126582278481,tributyloctylphosphonium,"1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",1000,,
C05_A05,CCCC[n+]1cnn(C)c1.CCCCCCCCO[PH](=O)[O-],10,0.8048780487804879,"4-methyl-1-propyl-1,2,4-triazolium",octyl phosphonate,1000,,
C06_A06,CCCCC(N)CCCC[N+]1(C)CCCCC1.N#CN=C=[N-],17,0.8732394366197183,1-methyl-1-octylpiperidin-1-ium,dicyanoazanide,1000,,
C07_A07,CCC(CC)C[n+]1ccn(C)c1C.CCC(=O)[O-],13,0.8791666666666667,"1-but-1-enyl-2,3-dimethylimidazolium",propionate,1000,,
C08_A08,CCCCC(C)CCOCc1n(CC)cc[n+]1C.CCCCP(=O)([O-])[O-],18,0.851985559566787,2-(ethoxymethyl)-1-ethyl-3-methylimidazolium,butylphosphonate,1000,,
C09_A09,CCCCC(C)Cn1cc[n+](CCC)c1.CCO[PH](=O)[O-],15,0.8717948717948718,"1,3-dihexyl-1H-imidazol-3-ium",ethyl phosphonate,1000,,
C10_A10,CCCCC(CC)C[n+]1ccn(CCC#N)c1.CC(C)C(N)C(=O)[O-],17,0.8493150684931506,1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium,L-valinate,1000,,
C11_A11,CC(CC[n+]1ccc(N(C)C)cc1)CC(F)(F)F.CCCCCCCCCCCCOS(=O)(=O)[O-],18,0.8318181818181818,"n-butyl-4-(n',n'-dimethylammonium)pyridinium",dodecyl sulfate,1000,,
C12_A12,C[NH+](CCOO)CCOO.c1nnn[n-]1,10,0.8157894736842105,2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium,tetrazolide,1000,,
C13_A13,CCCCCCC(C)C[n+]1ccn(CC(C)CC)c1.CCOS(=O)(=O)[O-],19,0.8737373737373737,"1,3-didecyl-1H-imidazol-3-ium",ethylsulfate,1000,,
C14_A14,C#Cc1c(C)c[n+](CCCCC)c(CC)c1C.CC(C)C(N)C(=O)[O-],17,0.8047882136279927,"1-hexyl-3,5-dimethylpyridinium",L-valinate,1000,,
C15_A15,CCCCCC[n+]1ccc(N(C)CC=O)c(C)c1.CCCCCC(=O)[O-],18,0.8549222797927462,1-hexyl-3-methyl-4-(dimethylamino)pyridinium,hexanoate,1000,,
C16_A16,CCC[n+]1c(C)cc(C)n1-c1cccc(P)c1.CCCCCCCCP(=O)([O-])[O-],17,0.8794153471376371,"1-phenyl-2-butyl-3,5-dimethylpyrazolium",octylphosphonate,1000,,
C17_A17,CCCCC[NH+](C)CC.NC(CO)C(=O)[O-],9,0.84,"N,N-dimethyl-N-ethyl-N-pentylammonium",L-serinate,1000,,
C18_A18,CCCCOCC[N+](C)(CC)CCC.[Cl-],14,0.8037383177570093,4-butyl-4-methylmorpholin-4-ium,chloride,1000,,
C19_A19,CCNCCC[n+]1cc(C)cc(C)c1CC.CC(N)C(=O)[O-],16,0.8827292110874201,"1-hexyl-3,5-dimethylpyridinium",L-alaninate,1000,,
C20_A20,CCCC[N+](CCCC)(CCCC)CCC(C)CC.O=[N+]([O-])[O-],19,0.8571428571428571,tetrahexylammonium,nitrate,1000,,
C21_A21,CCCC[n+]1ccc(N)c(C)c1.O=S(=O)([O-])CC(O)CN1CCOCC1,12,0.8029197080291971,1-hexyl-3-methyl-4-(dimethylamino)pyridinium,2-hydroxy-3-morpholinopropanesulfonate,1000,,
C22_A22,CCCCCC[N+](CC)(CCCCC)CC(C)(C)C.O=C([O-])c1ccccc1,19,0.8555555555555555,1-isobutyl-1-methylpiperidinium,benzoate,1000,,
C23_A23,CCCCCCCCn1cc[n+](CC[PH]#N)c1.CO[PH](=O)[O-],17,0.8046511627906977,"1,3-didecyl-1H-imidazol-3-ium",methyl phosphonate,1000,,
C24_A24,CCCc1cccc[n+]1CC(CC)CC(C)CC.CCO[PH](=O)[O-],18,0.8272425249169435,1-ethyl-2-octylpyridin-1-ium,ethyl phosphonate,1000,,
C25_A25,CCCCCCCCCC(C)CC[n+]1ccccc1.CS(=O)(=O)[O-],19,0.8934426229508197,1-octylpyridinium,methanesulfonate,1000,,
