Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C01_A01,CCCn1c[n+](C)cc1CNC.CS(=O)(=O)[O-],12,0.6179245283018868,1-butyl-3-methylimidazolium,methanesulfonate,[413.53],,
C02_A02,BC(CCCC)[n+]1cccc(CCC)c1.O=[N+]([O-])[O-],15,0.6101083032490975,N-octyl-3-methylpyridinium,nitrate,[423.78],,
C03_A03,Cn1cc[n+](C(Cl)c2ccccc2)c1.N#C[C-](C#N)C#N,14,0.7226277372262774,1-benzyl-3-methyl-1H-imidazol-3-ium,tricyanomethane,[418.74],,
C04_A04,Bc1cn(CC)c[n+]1CCCCCCCC.O=[N+]([O-])[O-],16,0.6767676767676768,1-butyl-3-methylimidazolium,nitrate,[432.98],,
C05_A05,BCC(C)Cn1cc[n+](C)c1.N#C[C-](C#N)C#N,11,0.8851351351351351,1-isobutyl-3-methylimidazolium,tricyanomethane,[408.88],,
C06_A06,CCn1c[n+](S)cc1F.F[B-](F)(F)F,9,0.5257731958762887,1-isobutyl-3-methylimidazolium,tetrafluoroborate,[436.08],,
C07_A07,CCC1(C2CC2)CCC[NH2+]1.O=C([O-])[C@@H]1CCCN1,10,0.5,1-isobutyl-1-methylpyrrolidinium,L-prolinate,[420.83],,
C08_A08,CCn1cc(N)[n+](C)c1C.COP(=O)([O-])OC,10,0.5915492957746479,"1,2-dimethyl-3-propylimidazolium",dimethylphosphate,[422.62],,
C09_A09,C[n+]1ccn(CBCCS)c1.N[C@@H](CO)C(=O)[O-],11,0.574468085106383,"1,3-dimethylimidazolium",L-serinate,[424.33],,
C10_A10,Cc1cc(C2CC2)cc[n+]1CCCl.[Br-],13,0.6598984771573604,1-ethyl-2-methylpyridinium,bromide,[421.54],,
C11_A11,BCC(P)CCCC[P+](CC)(CC)CC.[I-],15,0.7875,triethyloctylammonium,iodide,[423.51],,
C12_A12,CCCCC(C)n1cc[n+](C)c1C.O=[N+]([O-])[O-],13,0.7785977859778598,"1-butyl-2,3-dimethylimidazolium",nitrate,[398.53],,
C13_A13,CCCCCNCn1cc[n+](C)c1.N#C[N-]C#N,13,0.5242718446601942,"1,3-dimethylimidazolium",dicyanamide,[418.6],,
C14_A14,CC#CC[n+]1cc(N)n(CC(C)CC#N)c1.N#C[S-],16,0.6146788990825688,1-butyl-3-methylimidazolium,thiocyanate,[416.21],,
C15_A15,CCCCCC[n+]1ccn(CO)c1C.Cc1ccc(S(=O)(=O)[O-])cc1,14,0.7873134328358209,"1-butyl-2,3-dimethylimidazolium",tosylate,[412.25],,
C16_A16,CCn1cc[n+](c1C)C.O=S(=O)([O-])C(F)(F)F,9,0.8238341968911918,"1,2-dimethyl-3-propylimidazolium",trifluoromethanesulfonate,[422.29],,
C17_A17,CCCCC(P)[n+]1ccccc1.N[C@@H](CO)C(=O)[O-],12,0.6830985915492958,1-butylpyridinium,L-serinate,[408.5],,
C18_A18,CCCCCn1cc[n+](CO)c1.C[C@@H](O)[C@H](N)C(=O)[O-],12,0.8072289156626506,1-butyl-3-methylimidazolium,L-threoninate,[435.74],,
C19_A19,CC[n+]1cccc(C)c1.N#C[C-](C#N)C#N,9,0.8731343283582089,1-butyl-3-methylpyridinium,tricyanomethane,[419.67],,
C20_A20,C[n+]1c[nH]c2cc(P)c(N)cc21.O=S(=O)([O-])C(F)(F)F,12,0.5423728813559322,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[420.09],,
C21_A21,CCCC[N+]1=CN(C2=CC=CC=C21).[Cl-],13,0.616504854368932,1-butyl-3-methylimidazolium,chloride,[411.12],,
C22_A22,C[n+]1cn(CCO)cc1S.N#C[N-]C#N,10,0.727810650887574,1-(2-hydroxyethyl)-3-methylimidazolium,dicyanamide,[401.63],,
C23_A23,CC[P+](CC)(CC)CCCCCCNO.F[B-](F)(F)F,15,0.8493150684931506,triethylhexylammonium,tetrafluoroborate,[435.4],,
C24_A24,BCCNOC(=O)BCN1C=[N+]C(CB(C)C)=C1.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,18,0.5245901639344263,1-ethylpyridinium,"bis(2,4,4-trimethylpentyl)phosphinate",[434.59],,
C25_A25,C[n+]1ccccc1C(C=O)CCCCN.CCOS(=O)(=O)[O-],15,0.6589595375722543,1-ethyl-2-pentylpyridin-1-ium,ethylsulfate,[433.97],,
C26_A26,N#CCCCn1cc[n+](c1)C.CCOS(=O)(=O)[O-],11,0.9640287769784173,1-butyl-3-methylimidazolium,ethylsulfate,[414.26],,
C27_A27,BCC(CCBCC[n+]1cccc(C#N)c1)N=C=S.N#C[B-](C#N)(C#N)C#N,19,0.6608391608391608,3-cyano-1-octylpyridinium,tetracyanoborate,[417.62],,
C28_A28,CC(C)C[N+]1(C)CCCC1F.[Br-],11,0.6702127659574468,1-isobutyl-1-methylpyrrolidinium,bromide,[436.37],,
C29_A29,BC(CCCCC)[n+]1ccccc1.O=[N+]([O-])[O-],13,0.6736111111111112,1-butylpyridinium,nitrate,[397.65],,
C30_A30,CCc1cc[n+](CCCCP)cc1N.[Br-],14,0.615,1-butyl-2-methylpyridinium,bromide,[411.84],,
C31_A31,CCC[NH2+]CCO.CC(C)[C@H](N)C(=O)[O-],7,0.5625,pyrrolidinium,L-valinate,[432.13],,
C32_A32,BC(C)C[n+]1ccn(Cl)c1.CC(C)[C@H](N)C(=O)[O-],10,0.6127167630057804,1-methyl-3-propylimidazolium,L-valinate,[429.68],,
C33_A33,BC(CCO)CCc1cccc[n+]1CC.N[C@@H](CS)C(=O)[O-],15,0.899641577060932,1-ethyl-2-pentylpyridin-1-ium,L-cysteinate,[411.31],,
C34_A34,CCCCCCCC[n+]1ccccc1CP.O=[N+]([O-])[O-],16,0.7024221453287197,1-ethyl-2-octylpyridin-1-ium,nitrate,[431.84],,
C35_A35,C[n+]1ccn(CCCCCCP)c1.[I-],13,0.9367816091954023,3-hexyl-1-methylimidazolium,iodide,[435.87],,
C36_A36,C#CC(P)Cn1cc[n+](C)c1.N#C[N-]C#N,11,0.7515151515151515,1-methyl-3-propylimidazolium,dicyanamide,[416.42],,
C37_A37,CCCCC[n+]1ccccc1.N#C[S-],11,0.9326923076923077,1-butylpyridinium,thiocyanate,[404.22],,
C38_A38,CCCC[n+]1c[nH]c2c(N)cccc21.COS(=O)(=O)[O-],14,0.5555555555555556,1-butyl-3-methylimidazolium,methylsulfate,[415.83],,
C39_A39,BCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8,0.6590909090909091,tributylmethylammonium,bis[(trifluoromethyl)sulfonyl]imide,[422.96],,
C40_A40,CCCCC(F)CC[n+]1cccc(C)c1Cl.N#C[S-],16,0.6012658227848101,3-cyano-1-octylpyridinium,thiocyanate,[396.16],,
