Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCCCCCCC[n+]1cc[nH]c1.COP(=O)([O-])OC,13,0.9,1-butylimidazolium,dimethylphosphate,1000,1069.0 +/- 38.0,-6.9
C04_A04,Cn1cc[n+](CCCCCCCCCCP)c1.N#C[S-],17,0.9378531073446328,1-methyl-3-octyl-1H-imidazolium,thiocyanate,1000,1013.0 +/- 25.0,-1.3
C05_A05,CCCC(CC)CCCCn1cc[n+](CCC#N)c1.N#C[S-],19,0.9402985074626866,3-(2-cyanoethyl)-1-decyl-1H-imidazolium,thiocyanate,1000,992.0 +/- 39.0,0.8
C07_A07,Cn1cc[n+](CCCCCCCCO)c1.CCC(=O)[O-],15,0.9720670391061452,3-(6-hydroxyhexyl)-1-methylimidazolium,propionate,1000,1008.0 +/- 31.0,-0.8
C08_A08,CCCCn1c(C)cc(C)[n+]1-c1cccc(F)c1.NCCCCC(N)C(=O)[O-],18,0.9054545454545454,"1-phenyl-2-butyl-3,5-dimethylpyrazolium",L-lysinate,1000,1059.0 +/- 36.0,-5.8999999999999995
C09_A09,CCCCCCC(C)CC[n+]1cccc(C#N)c1.N#C[N-]C#N,18,0.9295154185022028,3-cyano-1-octylpyridinium,dicyanamide,1000,986.0 +/- 34.0,1.4000000000000001
C11_A11,CCc1c(C)cc(C)c[n+]1CCCC(C)CC.CCO[PH](=O)[O-],17,0.9756637168141592,"1-hexyl-3,5-dimethylpyridinium",ethyl phosphonate,1000,996.0 +/- 32.0,0.4
C12_A12,CCCC[P+](C)(CCCC)CCC(C)N.CCC(=O)[O-],15,0.9285714285714286,(3-aminopropyl)tributylphosphonium,propionate,1000,913.0 +/- 25.0,8.7
C13_A13,CCCCCCC[N+]1(C)CCOCC1.CC(C)CC(N)C(=O)[O-],14,0.990909090909091,4-methyl-4-octylmorpholin-4-ium,L-leucinate,1000,989.0 +/- 37.0,1.0999999999999999
C16_A16,CCC[n+]1ccn(CC(C)C)c1.CC(C)CC(N)C(=O)[O-],12,0.9632352941176472,1-isobutyl-3-methylimidazolium,L-leucinate,1000,965.0 +/- 27.0,3.5000000000000004
C19_A19,CCC(CC)CCn1cc[n+](C)c1.N#C[C-](C#N)C#N,13,0.904494382022472,3-methyl-1-pentylimidazolium,tricyanomethane,1000,1001.0 +/- 25.0,-0.1
C20_A20,CCCCCCCC(CC)[n+]1ccn(CC)c1.CO[PH](=O)[O-],17,0.9437229437229436,1-cyclopentyl-3-butylimidazolium,methyl phosphonate,1000,997.0 +/- 44.0,0.3
C21_A21,CCCC(C)CCCC[n+]1ccn(C)c1.[Cl-],15,0.9550561797752808,1-(5-methylhexyl)-3-methylimidazolium,chloride,1000,963.0 +/- 43.0,3.6999999999999997
C24_A24,N#Cc1cc[n+](CCCCCCF)cc1.CC(C)CC(N)C(=O)[O-],15,0.9502762430939228,1-hexyl-4-cyanopyridinium,L-leucinate,1000,1038.0 +/- 29.0,-3.8
