Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,prediction 0,prediction 1,calculation 0,calculation 1,error 0,error 1,Round,category
C01_A01,CCCC[N+]1(SCCC)CCCC(P)C1CCC.N#C[N-]C#N,18,0.5196850393700787,N-methylpyrrolidone,dicyanamide,1109.22,1060.53,606.68,1100.32,82.83,3.62,0.2,Other
C13_A13,CCCCCCC[n+]1ccc(N(C)C)cc1CCC.NCCCC[C@H](N)C(=O)[O-],19,0.7323529411764705,1-ethyl-2-octylpyridin-1-ium,L-lysinate,995.65,867.14,917.72,979.50,8.49,11.47,0.2,Pyridinium
C23_A23,CC[NH+]=C(N(C)C)P(C)C#N.COS(=O)(=O)[O-],11,0.5107296137339056,"1-hexyl-3,5-dimethylpyridinium",methylsulfate,1007.26,1070.24,786.38,1245.67,28.09,14.08,0.2,Pyridinium
C25_A25,CCCC[N+](C)(CCO)CCOC(C)=O.CCCCCCCCOS(=O)(=O)[O-],15,0.8016528925619835,4-butyl-4-methylmorpholin-4-ium,octyl sulfate,1109.3,991.51,810.66,1082.79,36.84,8.43,0.2,Other
C27_A27,CCCC(C)C(N)([NH3+])CC.NCCCC[C@H](N)C(=O)[O-],10,0.4479166666666667,N-methylpyrrolidone,L-lysinate,979.88,1028.15,660.85,1005.19,48.28,2.28,0.2,Other
C29_A29,CCCc1n(CCC)cc(C(N)F)[n+]1C(C)C(=O)CO.NCCS(=O)(=O)[O-],20,0.5234375,1-butyl-3-methylimidazolium,2-aminoethanesulfonate,1149.28,1030.13,702.60,1224.40,63.58,15.87,0.2,Imidazolium
C35_A35,CCCC(C)(C)C(Cn1cc[n+](C)c1C(=O)OC)N=N.NCC(=O)[O-],20,0.5454545454545454,1-(2-azido-3-bromopropyl)-3-methyl-3H-imidazol-1-ium,glycinate,1117.48,1038.16,664.69,1103.79,68.12,5.95,0.2,Imidazolium
C38_A38,CCC[NH+](CCC)CNS(C)(=O)=O.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,13,0.490566037735849,N-methylpyrrolidone,"bis(2,4,4-trimethylpentyl)phosphinate",977.6,1048.64,854.92,1178.28,14.35,11.0,0.2,Other
C46_A46,CCCCC[n+]1cn(CN)cc1CCCC.NCCCC[C@H](N)C(=O)[O-],16,0.575107296137339,1-butyl-3-methylimidazolium,L-lysinate,992.38,900.13,572.75,1021.18,73.27,11.85,0.2,Imidazolium
C47_A47,CCCCCC[n+]1ccccc1N.CCCCCCCCCCOS(=O)(=O)[O-],13,0.6503067484662577,1-hexylpyridinium,decylsulfate,920.18,891.21,423.37,1261.86,117.35,29.37,0.2,Pyridinium
C48_A48,CCCCCn1c[n+](CCCCC)cc1NC(C)=O.CCC(=O)[O-],19,0.575107296137339,1-butyl-3-methylimidazolium,propionate,965.46,886.35,873.01,1109.73,10.59,20.13,0.2,Imidazolium
C49_A49,CCCCC(CCC)CC[P+](CC)(CC)C(C)N.CCOP(=O)([O-])OCC,18,0.6274509803921569,trihexyl(tetradecyl)phosphonium,diethylphosphate,991.32,859.59,588.14,1169.07,68.55,26.47,0.2,Phosphonium
C63_A63,CCCC(CC)[N+](CCP)(CCC(Cl)CC)C(F)P.O=C([O-])C(F)(F)F,19,0.5166666666666667,1-methyl-1-octylpiperidin-1-ium,trifluoroacetate,1105.8,975.11,703.01,1072.64,57.3,9.09,0.2,Piperidinium
C65_A65,C#CC(CF)CC[NH+](CCl)C(N)OCl.N#CN=C=[N-],14,0.5327102803738317,1-methyl-1-octylpiperidin-1-ium,dicyanoazanide,1102.35,1017.92,632.05,973.38,74.41,4.58,0.2,Piperidinium
C80_A80,C=CC([NH+](C)C(C=C(N)F)(CC)CCCC)S(N)(=O)=O.[Cl-],20,0.515625,N-methylpyrrolidone,chloride,1115.64,1008.41,473.23,1185.28,135.75,14.92,0.2,Other
C94_A94,CCCCC(P)C(CC[N+]1(C)CCCC1)SC.C[C@H](N)C(=O)[O-],17,0.5378151260504201,(3-aminopropyl)tributylphosphonium,L-alaninate,1140.74,1019.14,716.64,1068.81,59.18,4.65,0.2,Phosphonium
C96_A96,CCCCCCC(C[n+]1ccccc1NC)S(C)=O.NCCS(=O)(=O)[O-],19,0.5431034482758621,1-hexyl-4-methylpyridinium,2-aminoethanesulfonate,1013.08,944.87,667.42,1163.01,51.79,18.76,0.2,Pyridinium
C05_A05,CCCC(CC(F)(F)F)[NH+]=C(N(C)C)P(P)CC.[I-],18,0.5121951219512195,trihexyl(tetradecyl)phosphonium,iodide,894.95,1261.1,529.47,1170.19,69.03,7.77,0.2,Phosphonium
