Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,predicted cpt,predicted density,calculated cpt,calculated density,"% error, cpt","% error, density",Round,Series,Category,"kde, density","kde, cpt",distance to pareto front
C16_A16,CCn1cc[n+](O)c1.CCOS(=O)(=O)[O-],8,0.6074074074074074,1-ethyl-3-methylimidazolium,ethylsulfate,354.69,1353.94,371.99,1291.03,4.65,4.87,1,3,Imidazolium,2.6647528632747943,0.3970613603233216,-0.08041577947221254
C17_A17,CCC#CCCn1cc[n+](NCO)c1.N#C[S-],14,0.6180904522613065,1-butyl-3-methylimidazolium,thiocyanate,369.18,1394.09,419.83,1160.99,12.06,20.08,1,3,Imidazolium,2.1901583452479567,1.95523367866128,-0.07464701780701517
C18_A18,CNCc1n(CO)c(NC)c[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13,0.5081300813008129,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,370.61,1447.03,572.47,1505.89,35.26,3.91,1,3,Imidazolium,1.6725315965998744,1.7846094449134386,-0.041704079830202224
C21_A21,CN=NC(=CN)Cn1c[n+](C)cc1N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,14,0.5377777777777778,1-isobutyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,380.07,1445.44,562.64,1523.94,32.45,5.15,1,3,Imidazolium,1.7606660114347086,1.6421007488321606,-0.046239087763349104
C22_A22,Cn1cc[n+](CSOc2ccccc2)c1.O=C([O-])C(F)(F)F,15,0.515,1-butyl-3-methylimidazolium,trifluoroacetate,347.65,1319.48,457.5,1321.45,24.01,0.15,1,3,Imidazolium,1.2433943211014546,0.4135679523926537,-0.07448032716564197
C26_A26,C#CNC(CC(N)CCO)C[n+]1ccccc1.COS(=O)(=O)[O-],17,0.5879396984924623,1-butyl-2-methylpyridinium,methylsulfate,363.85,1367.95,601.5,1264.16,39.51,8.21,1,3,Pyridinium,3.156330025015889,1.7467030500914715,-0.08635424502762296
C31_A31,CC(O)[n+]1ccccc1Cl.N#C[N-]C#N,10,0.5691489361702128,1-ethyl-2-methylpyridinium,dicyanamide,359.76,1372.86,339.94,1249.83,5.83,9.84,1,3,Pyridinium,3.017607789999873,0.9057819297575254,-0.08296955213514996
C37_A37,C[n+]1ccn(CCCCO)c1.O=S(=O)([O-])C(F)(F)F,11,0.9178082191780822,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,349.31,1332.74,431.41,1354.84,19.03,1.63,1,3,Imidazolium,1.284260267937876,0.4048935219272264,-0.07617707925034282
C38_A38,NC(S)C([NH3+])F.N[C@@H](CO)C(=O)[O-],6,0.5344827586206896,1-butyl-2-methylpyridinium,L-serinate,360.06,1422.53,332.25,1459.8,8.37,2.55,1,3,Pyridinium,2.470530545835409,0.9721871119781929,-0.052972389512154855
C40_A40,C[n+]1ccccc1CO.COS(=O)(=O)[O-],9,0.6481481481481481,1-ethyl-2-methylpyridinium,methylsulfate,336.85,1378.51,342.43,1332.64,1.63,3.44,1,3,Pyridinium,2.757391068737661,0.4968664745170014,-0.06844828722458758
