,name-anion,smiles-anion,steiger-anion,Marsili Partial Charges-anion,BalabanJ-anion,BertzCT-anion,Ipc-anion,HallKierAlpha-anion,Kappa1-anion,Kappa2-anion,Kappa3-anion,Chi0-anion,Chi1-anion,Chi0n-anion,Chi1n-anion,Chi2n-anion,Chi3n-anion,Chi4n-anion,Chi0v-anion,Chi1v-anion,Chi2v-anion,Chi3v-anion,Chi4v-anion,MolLogP-anion,MolMR-anion,MolWt-anion,HeavyAtomCount-anion,HeavyAtomMolWt-anion,NHOHCount-anion,NOCount-anion,NumHAcceptors-anion,NumHDonors-anion,NumHeteroatoms-anion,NumRotatableBonds-anion,NumValenceElectrons-anion,RingCount-anion,TPSA-anion,LabuteASA-anion,PEOE_VSA1-anion,PEOE_VSA2-anion,PEOE_VSA3-anion,PEOE_VSA4-anion,PEOE_VSA5-anion,PEOE_VSA6-anion,PEOE_VSA7-anion,PEOE_VSA8-anion,PEOE_VSA9-anion,PEOE_VSA10-anion,PEOE_VSA11-anion,PEOE_VSA12-anion,PEOE_VSA13-anion,PEOE_VSA14-anion,SMR_VSA1-anion,SMR_VSA2-anion,SMR_VSA3-anion,SMR_VSA4-anion,SMR_VSA5-anion,SMR_VSA6-anion,SMR_VSA7-anion,SMR_VSA8-anion,SMR_VSA9-anion,SMR_VSA10-anion,SlogP_VSA1-anion,SlogP_VSA2-anion,SlogP_VSA3-anion,SlogP_VSA4-anion,SlogP_VSA5-anion,SlogP_VSA6-anion,SlogP_VSA7-anion,SlogP_VSA8-anion,SlogP_VSA9-anion,SlogP_VSA10-anion,SlogP_VSA11-anion,SlogP_VSA12-anion,EState_VSA1-anion,EState_VSA2-anion,EState_VSA3-anion,EState_VSA4-anion,EState_VSA5-anion,EState_VSA6-anion,EState_VSA7-anion,EState_VSA8-anion,EState_VSA9-anion,EState_VSA10-anion,EState_VSA11-anion,VSA_EState1-anion,VSA_EState2-anion,VSA_EState3-anion,VSA_EState4-anion,VSA_EState5-anion,VSA_EState6-anion,VSA_EState7-anion,VSA_EState8-anion,VSA_EState9-anion,VSA_EState10-anion,Topliss fragments-anion,name-cation,smiles-cation,steiger-cation,Marsili Partial Charges-cation,BalabanJ-cation,BertzCT-cation,Ipc-cation,HallKierAlpha-cation,Kappa1-cation,Kappa2-cation,Kappa3-cation,Chi0-cation,Chi1-cation,Chi0n-cation,Chi1n-cation,Chi2n-cation,Chi3n-cation,Chi4n-cation,Chi0v-cation,Chi1v-cation,Chi2v-cation,Chi3v-cation,Chi4v-cation,MolLogP-cation,MolMR-cation,MolWt-cation,HeavyAtomCount-cation,HeavyAtomMolWt-cation,NHOHCount-cation,NOCount-cation,NumHAcceptors-cation,NumHDonors-cation,NumHeteroatoms-cation,NumRotatableBonds-cation,NumValenceElectrons-cation,RingCount-cation,TPSA-cation,LabuteASA-cation,PEOE_VSA1-cation,PEOE_VSA2-cation,PEOE_VSA3-cation,PEOE_VSA4-cation,PEOE_VSA5-cation,PEOE_VSA6-cation,PEOE_VSA7-cation,PEOE_VSA8-cation,PEOE_VSA9-cation,PEOE_VSA10-cation,PEOE_VSA11-cation,PEOE_VSA12-cation,PEOE_VSA13-cation,PEOE_VSA14-cation,SMR_VSA1-cation,SMR_VSA2-cation,SMR_VSA3-cation,SMR_VSA4-cation,SMR_VSA5-cation,SMR_VSA6-cation,SMR_VSA7-cation,SMR_VSA8-cation,SMR_VSA9-cation,SMR_VSA10-cation,SlogP_VSA1-cation,SlogP_VSA2-cation,SlogP_VSA3-cation,SlogP_VSA4-cation,SlogP_VSA5-cation,SlogP_VSA6-cation,SlogP_VSA7-cation,SlogP_VSA8-cation,SlogP_VSA9-cation,SlogP_VSA10-cation,SlogP_VSA11-cation,SlogP_VSA12-cation,EState_VSA1-cation,EState_VSA2-cation,EState_VSA3-cation,EState_VSA4-cation,EState_VSA5-cation,EState_VSA6-cation,EState_VSA7-cation,EState_VSA8-cation,EState_VSA9-cation,EState_VSA10-cation,EState_VSA11-cation,VSA_EState1-cation,VSA_EState2-cation,VSA_EState3-cation,VSA_EState4-cation,VSA_EState5-cation,VSA_EState6-cation,VSA_EState7-cation,VSA_EState8-cation,VSA_EState9-cation,VSA_EState10-cation,Topliss fragments-cation,"Specific density, kg/m<SUP>3</SUP>_mean","Heat capacity at constant pressure, J/K/mol_mean","Specific density, kg/m<SUP>3</SUP>_std","Heat capacity at constant pressure, J/K/mol_std",count,category
0,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C,777.0,777.0,2.51863794324683,200.61769139965665,358.71869776560686,-0.8500000000000001,8.248522167487684,4.117027384036986,2.705089707817086,8.104448006685086,5.32569850269549,7.377935015818106,4.283749262554001,2.9668724247029465,1.8276718887547148,1.0216182694027172,7.377935015818106,4.283749262554001,2.9668724247029465,1.8276718887547148,1.0216182694027172,2.08262,46.28200000000002,150.24499999999995,11.0,134.11700000000002,0.0,1.0,0.0,0.0,1.0,3.0,60.0,1.0,3.88,68.68573315902185,0.0,0.0,4.567099647791356,0.0,0.0,13.344558822616634,12.48718869138762,18.553555759849235,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.567099647791356,0.0,0.0,0.0,33.23387405114585,0.0,30.08987277184637,0.0,0.0,0.0,4.567099647791356,0.0,6.544756405912576,6.923737199690624,25.32883193723964,24.526421280149368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.40509473754901,0.0,0.0,42.94099532732197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2326388888888893,17.934027777777782,0.0,777.0,1190.907222222222,400.5944444444444,9.080185801127914,16.904975676243335,18,Pyridinium
1,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-methyl-3-octylimidazolium,CCCCCCCCn1cc[n+](c1)C,777.0,777.0,1.98822518178604,240.2246975919736,1955.580095274188,-0.79,11.285700227100682,6.632365644941888,4.447245118339987,10.225768350244731,6.825698502695488,9.576225466874627,5.836677035025322,4.0846747497186495,2.5935989222832583,1.7086922820830983,9.576225466874627,5.836677035025322,4.0846747497186495,2.5935989222832583,1.7086922820830983,2.6731000000000016,58.984000000000044,195.33000000000004,14.0,172.146,0.0,2.0,1.0,0.0,2.0,7.0,80.0,1.0,8.809999999999997,87.56463352421791,0.0,0.0,9.134199295582713,0.0,0.0,32.60702369139466,12.841643245852019,0.0,13.592428388589768,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.567099647791356,0.0,4.567099647791356,7.047671982677191,51.99342334315926,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791356,4.567099647791356,13.592428388589768,0.0,45.448666937246685,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.06968614346864,0.0,0.0,41.82661569594122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.358039336104812,20.141960663895187,0.0,777.0,1105.5666666666666,497.8999999999997,5.308895159644145,0.1017095255430306,30,Imidazolium
2,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C,777.0,777.0,2.422977777805392,190.89259058064118,256.72310814936304,-0.79,7.318577633007603,3.3962719742551766,1.8650356476646408,7.397341225498537,4.825698502695488,6.747798342128438,3.8366770350253208,2.670461187345554,1.5935989222832576,0.9746726803266176,6.747798342128438,3.8366770350253208,2.670461187345554,1.5935989222832576,0.9746726803266176,1.1127,40.51600000000001,139.22199999999998,10.0,124.102,0.0,2.0,1.0,0.0,2.0,3.0,56.0,1.0,8.809999999999997,62.10486506663146,0.0,0.0,9.134199295582713,0.0,0.0,13.344558822616634,6.4208216229260096,0.0,13.592428388589768,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.567099647791356,0.0,4.567099647791356,7.047671982677191,26.310136851455216,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791356,4.567099647791356,13.592428388589768,0.0,19.765380445542647,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,12.841643245852019,0.0,7.047671982677191,34.778943713264034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276944444444443,14.223055555555556,0.0,777.0,1207.6905882352944,368.5333333333324,28.96629248186398,9.167379879703015,204,Imidazolium
3,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C,777.0,777.0,2.837541430565328,166.79139338038127,92.21698662121833,-0.79,5.348696255201109,1.987228405606425,0.8858300949406248,5.983127663125442,3.825698502695489,5.33358477975534,2.836677035025321,1.90952876501914,1.1888811306045146,0.6887728987459062,5.33358477975534,2.836677035025321,1.90952876501914,1.1888811306045146,0.6887728987459062,0.3325,31.281999999999986,111.16799999999999,8.0,100.07999999999998,0.0,2.0,1.0,0.0,2.0,1.0,44.0,1.0,8.809999999999997,49.37498083783825,0.0,0.0,9.134199295582713,0.0,0.0,0.0,6.923737199690624,0.0,13.592428388589768,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.567099647791356,0.0,4.567099647791356,7.047671982677191,13.468493605603197,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791356,4.567099647791356,13.592428388589768,0.0,6.923737199690624,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,0.0,0.0,17.811615202081622,24.015000493859606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15625,11.34375,0.0,777.0,1280.579999999998,305.34999999999974,2.0308563116307186,1.0896886636318623,160,Imidazolium
4,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C,777.0,777.0,2.1532428023870858,215.36808514856003,711.7488434031932,-0.79,9.29920606601249,4.962943913638706,3.0743817157040696,8.811554787871632,5.82569850269549,8.162011904501533,4.836677035025322,3.3775679685321007,2.0935989222832583,1.3551388914898248,8.162011904501533,4.836677035025322,3.3775679685321007,2.0935989222832583,1.3551388914898248,1.8929,49.750000000000036,167.27599999999995,12.0,148.124,0.0,2.0,1.0,0.0,2.0,5.0,68.0,1.0,8.809999999999997,74.83474929542467,0.0,0.0,9.134199295582713,0.0,0.0,19.765380445542647,12.841643245852019,0.0,13.592428388589768,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.567099647791356,0.0,4.567099647791356,7.047671982677191,39.15178009730722,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791356,4.567099647791356,13.592428388589768,0.0,32.60702369139466,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.22804289761661,0.0,0.0,41.82661569594122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3288499149659865,17.171150085034014,0.0,777.0,1145.8846666666668,429.1999999999997,1.3494992337228526,2.002271437415818,45,Imidazolium
5,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C,777.0,777.0,2.5648049925662093,217.8676913996566,347.84565493996774,-0.8500000000000001,8.248522167487684,4.117027384036986,2.705089707817086,8.104448006685086,5.325698502695488,7.377935015818106,4.283749262554001,2.9726840941397503,1.7759825045402102,1.1327623653975325,7.377935015818106,4.283749262554001,2.9726840941397503,1.7759825045402102,1.1327623653975325,2.0826200000000004,46.28200000000002,150.24499999999995,11.0,134.11700000000002,0.0,1.0,0.0,0.0,1.0,3.0,60.0,1.0,3.88,68.68573315902185,0.0,0.0,4.567099647791356,0.0,0.0,13.344558822616634,12.990104268152232,18.050640183084614,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.567099647791356,0.0,0.0,0.0,33.23387405114585,0.0,30.08987277184637,0.0,0.0,0.0,4.567099647791356,0.0,6.544756405912576,6.923737199690624,25.32883193723964,24.526421280149368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.40509473754901,0.0,0.0,42.94099532732197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.248842592592593,17.917824074074076,0.0,777.0,1181.8385714285714,412.29999999999984,2.15406923883959,0.0,7,Pyridinium
6,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-butylpyridinium,CCCC[n+]1ccccc1,777.0,777.0,2.4265223465879537,169.34295735705518,251.66716234355823,-0.8500000000000001,7.2592896174863375,4.044246402484895,2.175236783365843,7.234204518682008,4.931851652578137,6.455285285007732,3.8730656600310422,2.4668724247029474,1.5471720825785162,0.9240774186434322,6.455285285007732,3.8730656600310422,2.4668724247029474,1.5471720825785162,0.9240774186434322,1.7742,41.545000000000016,136.21799999999996,10.0,122.10599999999998,0.0,1.0,0.0,0.0,1.0,3.0,54.0,1.0,3.88,62.32079104462525,0.0,0.0,4.567099647791356,0.0,0.0,19.410925891078247,0.0,18.553555759849235,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.567099647791356,0.0,0.0,0.0,26.310136851455216,0.0,30.592788348610977,0.0,0.0,0.0,4.567099647791356,0.0,6.544756405912576,0.0,19.765380445542647,30.592788348610977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,12.841643245852019,0.0,6.06636706846161,36.01725812763135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2118055555555562,16.288194444444443,0.0,777.0,1213.948,389.16,0.2394809201400384,6.155900511794537,10,Pyridinium
7,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-propylpyridinium,CCC[n+]1ccccc1,777.0,777.0,2.61489994009295,157.4784207656209,145.16653667335345,-0.8500000000000001,6.272699386503067,3.23008599838753,1.8407229003373051,6.527097737495461,4.431851652578137,5.748178503821182,3.3730656600310414,2.113319034109673,1.2591116067268031,0.841588239547119,5.748178503821182,3.3730656600310414,2.113319034109673,1.2591116067268031,0.841588239547119,1.3841,36.928000000000004,122.19099999999996,9.0,110.09499999999998,0.0,1.0,0.0,0.0,1.0,2.0,48.0,1.0,3.88,55.95584893022863,0.0,0.0,4.567099647791356,0.0,0.0,12.990104268152232,0.0,18.553555759849235,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.567099647791356,0.0,0.0,0.0,19.88931522852921,0.0,30.592788348610977,0.0,0.0,0.0,4.567099647791356,0.0,6.544756405912576,0.0,13.344558822616634,30.592788348610977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,6.4208216229260096,0.0,6.06636706846161,36.01725812763135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180555555555556,14.819444444444445,0.0,777.0,1253.0999999999995,362.99999999999983,,,1,Pyridinium
8,tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.784935064935064,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549878,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,N-octyl-3-methylpyridinium,CCCCCCCC[n+]1cccc(c1)C,777.0,777.0,2.095850478992413,267.7961398042021,2641.5470120505483,-0.8500000000000001,12.220671378091874,7.442746983101538,5.5583672619401785,10.932875131431278,7.325698502695488,10.206362140564297,6.283749262553999,4.386897656512845,2.7759825045402104,1.866781967154013,10.206362140564297,6.283749262553999,4.386897656512845,2.7759825045402104,1.866781967154013,3.6430200000000026,64.75000000000007,206.35300000000004,15.0,182.16099999999997,0.0,1.0,0.0,0.0,1.0,7.0,84.0,1.0,3.88,94.14550161660827,0.0,0.0,4.567099647791356,0.0,0.0,32.60702369139466,19.410925891078247,18.050640183084614,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.567099647791356,0.0,0.0,0.0,58.91716054284989,0.0,30.08987277184637,0.0,0.0,0.0,4.567099647791356,0.0,6.544756405912576,6.923737199690624,51.01211842894368,24.526421280149368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63313763516563,0.0,0.0,42.94099532732197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3007480631141344,23.865918603552533,0.0,777.0,1094.5,450.00000000000006,0.0,0.0,2,Pyridinium
9,hexafluorophosphate,F[P-](F)(F)(F)(F)F,777.0,777.0,4.4312936752559775,62.74506838420408,4.1417094500762905,0.009999999999999952,7.01,0.6695585177281324,966414.0100000087,6.408248290463862,2.4494897427831783,2.7150004335553217,1.0141851056742195,0.9583148474999094,0.0,0.0,3.6094276245552375,3.04255531702266,2.87494454249973,0.0,0.0,3.3824,13.568000000000005,144.96200000000005,7.0,144.96200000000005,0.0,0.0,0.0,0.0,7.0,0.0,48.0,0.0,0.0,34.355936634923424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98994288087755,25.181433797066852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.808509083810692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.181433797066852,0.0,7.808509083810692,7.808509083810692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.181433797066852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.194444444444436,-10.657407407407408,0.0,777.0,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C,777.0,777.0,2.422977777805392,190.89259058064118,256.72310814936304,-0.79,7.318577633007603,3.3962719742551766,1.8650356476646408,7.397341225498537,4.825698502695488,6.747798342128438,3.8366770350253208,2.670461187345554,1.5935989222832576,0.9746726803266176,6.747798342128438,3.8366770350253208,2.670461187345554,1.5935989222832576,0.9746726803266176,1.1127,40.51600000000001,139.22199999999998,10.0,124.102,0.0,2.0,1.0,0.0,2.0,3.0,56.0,1.0,8.809999999999997,62.10486506663146,0.0,0.0,9.134199295582713,0.0,0.0,13.344558822616634,6.4208216229260096,0.0,13.592428388589768,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.567099647791356,0.0,4.567099647791356,7.047671982677191,26.310136851455216,0.0,18.721007217990696,0.0,0.0,0.0,4.567099647791356,4.567099647791356,13.592428388589768,0.0,19.765380445542647,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,12.841643245852019,0.0,7.047671982677191,34.778943713264034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276944444444443,14.223055555555556,0.0,777.0,1366.464,405.6333333333336,2.1864224759280493,5.939067479202563,75,Imidazolium
